iter	Passed	Remaining
0	0	65
1	1	60
2	1	56
3	2	53
4	2	52
5	3	51
6	3	50
7	4	50
8	4	49
9	5	48
10	5	48
11	6	47
12	7	47
13	7	46
14	8	46
15	8	45
16	9	44
17	9	44
18	10	43
19	10	43
20	11	42
21	11	41
22	12	41
23	12	40
24	13	40
25	13	39
26	14	39
27	14	38
28	15	37
29	16	37
30	16	36
31	17	36
32	17	35
33	18	35
34	18	34
35	19	34
36	19	33
37	20	33
38	20	32
39	21	31
40	21	31
41	22	30
42	22	29
43	23	29
44	23	28
45	24	28
46	24	27
47	25	27
48	25	26
49	26	26
50	26	25
51	27	25
52	27	24
53	28	24
54	28	23
55	29	22
56	29	22
57	30	21
58	30	21
59	31	20
60	31	20
61	32	19
62	32	19
63	33	18
64	33	18
65	34	17
66	34	17
67	35	16
68	35	16
69	36	15
70	36	15
71	37	14
72	38	14
73	38	13
74	39	13
75	40	12
76	40	12
77	41	11
78	41	11
79	42	10
80	43	10
81	43	9
82	44	9
83	45	8
84	45	8
85	46	7
86	47	7
87	47	6
88	48	5
89	48	5
90	49	4
91	50	4
92	50	3
93	51	3
94	51	2
95	52	2
96	53	1
97	53	1
98	54	0
99	54	0
